3,20,65009,65221,65281,65271,65261,65239,65179,65169,65159,65079,65199,,,,,,,,,
3 Reverse,20,65191,65071,65151,65161,65171,65231,65269,65279,65289,65229,65009,,,,,,,,,
34,20,65009,65221,65089,65079,65199,,,,,,,,,,,,,,,
34 Reverse,20,65191,65071,65081,65229,65009,,,,,,,,,,,,,,,
43,20,65009,65259,65409,65141,65431,,,,,,,,,,,,,,,
43 Reverse,20,65439,65149,65401,65009,,,,,,,,,,,,,,,,
50,20,65009,65359,65309,65319,65329,65189,65239,65529,,,,,,,,,,,,
50 Reverse,20,65521,65231,65181,65321,65311,65301,65351,65009,,,,,,,,,,,,
62,20,65009,65201,65151,65161,65171,65529,,,,,,,,,,,,,,
62 Reverse,20,65521,65179,65169,65159,65209,65009,,,,,,,,,,,,,,
82,20,65009,65201,65079,,,,,,,,,,,,,,,,,
82 Reverse,20,65071,65209,65009,,,,,,,,,,,,,,,,,
83,20,65009,65221,65281,65271,65261,65239,65179,65169,65159,65079,,,,,,,,,,
83 Reverse,20,65071,65151,65161,65171,65231,65269,65279,65289,65229,65009,,,,,,,,,,
84,20,65009,65221,65091,65489,65469,65619,65629,65639,65121,65139,65129,65631,65621,65611,65461,65481,65099,65229,65009,
85,20,65009,65221,65281,65271,65261,65239,65529,,,,,,,,,,,,,
85 Reverse,20,65521,65231,65269,65279,65289,65229,65009,,,,,,,,,,,,,
117,20,65009,65259,65409,65141,65431,,,,,,,,,,,,,,,
117 Reverse,20,65439,65149,65401,65009,,,,,,,,,,,,,,,,
118,20,65009,65259,65409,65141,65431,65199,,,,,,,,,,,,,,
118 Reverse,20,65191,65439,65149,65401,65009,,,,,,,,,,,,,,,
119,20,65009,65341,65331,65431,,,,,,,,,,,,,,,,
119 Reverse,20,65439,65339,65349,65009,,,,,,,,,,,,,,,,
136,20,65009,65221,65281,65249,65159,65079,,,,,,,,,,,,,,
136 Reverse,20,65071,65151,65241,65289,65229,65009,,,,,,,,,,,,,,
382G,20,65009,65341,65331,65571,65551,65541,65531,65491,65441,65451,65671,65461,65481,65351,65009,,,,,
382W,20,65009,65359,65489,65469,65679,65459,65449,65499,65539,65549,65559,65579,65339,65349,65009,,,,,
386,20,65009,65221,65281,65381,65391,65319,65371,65419,65429,65171,65231,65269,65411,65379,65311,65399,65389,65289,65229,65009
LRT,30,Punggol MRT,Damai LRT,Oasis LRT,Kadaloor LRT,Riviera LRT,Coral Edge LRT,Meridian LRT,Cove LRT,Punggol MRT,,,,,,,,,,,
LRT Reverse,30,Punggol MRT,Cove LRT,Meridian LRT,Coral Edge LRT,Riviera LRT,Kadaloor LRT,Oasis LRT,Damai LRT,Punggol MRT,,,,,,,,,,,
Punggol MRT Bus Transfer,4,Punggol MRT,65251,,,,,,,,,,,,,,,,,,
Punggol MRT MRT Transfer,4,65251,Punggol MRT,,,,,,,,,,,,,,,,,,
Punggol MRT Bus Transfer,4,Punggol MRT,65009,,,,,,,,,,,,,,,,,,
Punggol MRT MRT Transfer,4,65009,Punggol MRT,,,,,,,,,,,,,,,,,,
Damai LRT Bus Transfer,4,Damai LRT,65309,,,,,,,,,,,,,,,,,,
Damai LRT MRT Transfer ,4,65309,Damai LRT,,,,,,,,,,,,,,,,,,
Damai LRT Bus Transfer,4,Damai LRT,65301,,,,,,,,,,,,,,,,,,
Damai LRT MRT Transfer ,4,65301,Damai LRT,,,,,,,,,,,,,,,,,,
Oasis LRT Bus Transfer,4,Oasis LRT,65319,,,,,,,,,,,,,,,,,,
Oasis LRT MRT Transfer,4,65319,Oasis LRT,,,,,,,,,,,,,,,,,,
Oasis LRT Bus Transfer,4,Oasis LRT,65311,,,,,,,,,,,,,,,,,,
Oasis LRT MRT Transfer ,4,65311,Oasis LRT,,,,,,,,,,,,,,,,,,
Kadaloor LRT Bus Transfer,4,Kadaloor LRT,65321,,,,,,,,,,,,,,,,,,
Kadaloor LRT MRT Transfer,4,65321,Kadaloor LRT,,,,,,,,,,,,,,,,,,
Kadaloor LRT Bus Transfer,4,Kadaloor LRT,65329,,,,,,,,,,,,,,,,,,
Kadaloor LRT MRT Transfer,4,65329,Kadaloor LRT,,,,,,,,,,,,,,,,,,
Riviera LRT Bus Transfer,4,Riviera LRT,65231,,,,,,,,,,,,,,,,,,
Riviera LRT MRT Transfer ,4,,65231,Riviera LRT,,,,,,,,,,,,,,,,,
Riviera LRT Bus Transfer,4,Riviera LRT,65239,,,,,,,,,,,,,,,,,,
Riviera LRT MRT Transfer ,4,65239,Riviera LRT,,,,,,,,,,,,,,,,,,
Coral Edge LRT Bus Transfer,4,Coral Edge LRT,65179,,,,,,,,,,,,,,,,,,
Coral Edge LRT MRT Transfer ,4,65179,Coral Edge LRT,,,,,,,,,,,,,,,,,,
Coral Edge LRT Bus Transfer,4,Coral Edge LRT,65171,,,,,,,,,,,,,,,,,,
Coral Edge LRT MRT Transfer,4,65171,Coral Edge LRT,,,,,,,,,,,,,,,,,,
Meridian LRT Bus Transfer,4,Meridian LRT,65161,,,,,,,,,,,,,,,,,,
Meridian LRT MRT Transfer,4,65161,Meridian LRT,,,,,,,,,,,,,,,,,,
Meridian LRT Bus Transfer,4,Meridian LRT,65169,,,,,,,,,,,,,,,,,,
Meridian LRT MRT Transfer,4,65169,Meridian LRT,,,,,,,,,,,,,,,,,,
Cove LRT Bus Transfer,4,Cove LRT,65151,,,,,,,,,,,,,,,,,,
Cove LRT MRT Transfer,4,65151,Cove LRT,,,,,,,,,,,,,,,,,,
Cove LRT Bus Transfer,4,Cove LRT,65159,,,,,,,,,,,,,,,,,,
Cove LRT MRT Transfer,4,65159,Cove LRT,,,,,,,,,,,,,,,,,,
