bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,direction
3,Punggol Temp Int (65009),103.90253,1.40409,way/325024332,103.9026466,1.4033011,88.19239049,0
3,way/325024332,103.9026466,1.4033011,way/173767827,103.9029803,1.4031145,42.48333079,0
3,way/173767827,103.9029803,1.4031145,way/724076802,103.9031708,1.4034225,40.11641526,0
3,way/724076802,103.9031708,1.4034225,way/476395133,103.9034199,1.4038215,52.10565006,0
3,way/476395133,103.9034199,1.4038215,way/708819911,103.9035459,1.4040253,26.54152557,0
3,way/708819911,103.9035459,1.4040253,way/445282971,103.903687,1.404257,30.0493549,0
3,way/445282971,103.903687,1.404257,way/74953813,103.9037954,1.4044306,22.67169002,0
3,way/74953813,103.9037954,1.4044306,way/74962089,103.9038671,1.4044623,8.715196569,0
3,way/74962089,103.9038671,1.4044623,way/445282963,103.9040093,1.4043935,17.55854857,0
3,way/445282963,103.9040093,1.4043935,way/74962070,103.9045282,1.4041069,65.87076863,0
3,way/74962070,103.9045282,1.4041069,Blk 303D (65221),103.9048174,1.4040774,32.34887827,0
3,Blk 303D (65221),103.9048174,1.4040774,way/476389391,103.9050768,1.4037792,43.82454082,0
3,way/476389391,103.9050768,1.4037792,way/476389390,103.9053743,1.4035741,40.13043388,0
3,way/476389390,103.9053743,1.4035741,way/476389868,103.9057294,1.4033408,47.19265239,0
3,way/476389868,103.9057294,1.4033408,way/476389869,103.9060854,1.4030945,48.07602904,0
3,way/476389869,103.9060854,1.4030945,way/74962084,103.9063092,1.4029304,30.81487731,0
3,way/74962084,103.9063092,1.4029304,way/582412256,103.9064782,1.4028262,22.05611943,0
3,way/582412256,103.9064782,1.4028262,way/74662288,103.9068734,1.4025603,52.90314852,0
3,way/74662288,103.9068734,1.4025603,way/655184948,103.9074646,1.4021456,80.19584621,0
3,way/655184948,103.9074646,1.4021456,Punggol Sec/Blk 601B (65281),103.907859,1.401923,50.32195146,0
3,Punggol Sec/Blk 601B (65281),103.907859,1.401923,way/476147270,103.9080694,1.4017069,33.45487895,0
3,way/476147270,103.9080694,1.4017069,way/708916869,103.9084669,1.401409,55.15356891,0
3,way/708916869,103.9084669,1.401409,way/476147271,103.9086999,1.4012464,31.55333733,0
3,way/476147271,103.9086999,1.4012464,way/325024331,103.9089333,1.4010886,31.29089012,0
3,way/325024331,103.9089333,1.4010886,way/534638193,103.9090843,1.4009831,20.45654917,0
3,way/534638193,103.9090843,1.4009831,way/75138967,103.9092551,1.4008644,23.09903963,0
3,way/75138967,103.9092551,1.4008644,way/635714418,103.9096081,1.4006113,48.23367011,0
3,way/635714418,103.9096081,1.4006113,way/536982024,103.9102055,1.4001758,82.09061161,0
3,way/536982024,103.9102055,1.4001758,Opp Blk 188 (65271),103.9106464,1.3999807,53.59938929,0
3,Opp Blk 188 (65271),103.9106464,1.3999807,way/476147262,103.91078,1.3997594,28.63295396,0
3,way/476147262,103.91078,1.3997594,way/476147261,103.9112073,1.399454,58.32363444,0
3,way/476147261,103.9112073,1.399454,way/655190964,103.9117637,1.3990467,76.56638199,0
3,way/655190964,103.9117637,1.3990467,way/620264529,103.9122546,1.3986909,67.32262186,0
3,way/620264529,103.9122546,1.3986909,way/620264528,103.9126742,1.3984024,56.55233565,0
3,way/620264528,103.9126742,1.3984024,way/534638684,103.9129837,1.398185,42.00245871,0
