fromNode,fromNode_lat,fromNode_long,OppBusStop
65251,1.40514,103.90276,Punggol Temp Int (65009)
Aft Punggol Ctrl (65181),1.3968139,103.91755,Bef Punggol Ctrl (65189)
Aft Punggol Dr (65489),1.4081396,103.9056935,Bef Punggol Dr (65481)
Aft Punggol Field (65529),1.3914883,103.9142797,0
Aft Punggol Pt Stn (65631),1.4172,103.90552,Bef Punggol Pt Stn (65639)
Aft Punggol Rd (65199),1.3959978,103.9055001,Bef Punggol Rd (65191)
Aft Punggol Rd (65209),1.4003315,103.9038676,Opp Blk 201A (65201)
Aft Sumang Lane (65549),1.4035039,103.8910307,Bef Sumang Lane (65541)
Aft TPE (65439),1.4017197,103.8963115,Twin Waterfalls (65431)
Aft Track 22 (65129),1.4185387,103.9098961,Opp Track 22 (65121)
Bef Blk 264 (65409),1.406245,103.899574,Opp Blk 264A (65401)
Bef Punggol Ctrl (65189),1.396827,103.91793,Aft Punggol Ctrl (65181)
Bef Punggol Dr (65481),1.40763,103.90887,Aft Punggol Dr (65489)
Bef Punggol Pt Stn (65639),1.41746,103.90559,Aft Punggol Pt Stn (65631)
Bef Punggol Rd (65191),1.3959978,103.9055001,Aft Punggol Rd (65199)
Bef Sumang Lane (65541),1.4035469,103.8912351,Aft Sumang Lane (65549)
Bet Blks 187/188 (65279),1.3993093,103.9109875,Opp Blk 188 (65271)
Blk 102C (65079),1.3988936,103.9047796,Opp Blk 103A (65071)
Blk 162B (65269),1.3964771,103.9149239,Blk 649 (65261)
Blk 178 (65249),1.3995595,103.9082822,Blk 196C (65241)
Blk 196C (65241),1.3990941,103.9076522,Blk 178 (65249)
Blk 218 (65571),1.4034253,103.8955797,Blk 258A (65579)
Blk 224A Bus Stop (65539),1.4022195,103.893714,Blk 226A (65531)
Blk 226A (65531),1.402367,103.8935666,Blk 224A Bus Stop (65539)
Blk 227A (65551),1.4037635,103.8934202,Opp Blk 227A (65559)
Blk 258A (65579),1.4035623,103.8959034,Blk 218 (65571)
Blk 259 Carpark (65499),1.404596,103.8950751,Opp Blk 259 Carpark (65491)
Blk 268C (65339),1.4031893,103.8981118,Opp Blk 268D (65331)
Blk 272C (65349),1.4022889,103.9006432,Opp Blk 272C (65341)
Blk 298 (65229),1.4032091,103.9055521,Blk 303D (65221)
Blk 301A (65091),1.4040152,103.9065771,Blk 604A (65099)
Blk 303D (65221),1.4040774,103.9048174,Blk 298 (65229)
Blk 310B (65469),1.4097733,103.9011984,Blk 312 CP (65461)
Blk 312 CP (65461),1.40988,103.90135,Blk 310B (65469)
Blk 315B (65449),1.4080168,103.8959875,Opp Blk 315B (65441)
Blk 322 Carpark (65451),1.4107318,103.8975557,Opp Blk 322 Carpark (65459)
Blk 604A (65099),1.404533,103.9071851,Blk 301A (65091)
Blk 649 (65261),1.3971462,103.9146038,Blk 162B (65269)
Blk 661A (65379),1.4028,103.9163,Blk 682A (65371)
Blk 670A (65399),1.4058029,103.9126284,Blk 672A (65391)
Blk 672A (65391),1.4059501,103.9124459,Blk 670A (65399)
Blk 682A (65371),1.4029162,103.9161895,Blk 682A (65371)
Coral Edge LRT,1.3939318,103.9125723,0
Coral Edge Stn Exit A (65179),1.3942822,103.9118997,0
Coral Edge Stn Exit B (65171),1.3944344,103.9122461,0
Cove LRT,1.39941,103.90581,0
Cove Stn Exit A (65159),1.3990411,103.9061631,0
Cove Stn Exit B (65151),1.3991335,103.9065501,0
Damai LRT,1.40526,103.90858,0
Damai Stn Exit A (65309),1.404944,103.909134,0
Damai Stn Exit B (65301),1.4045163,103.909287,0
Greendale Pr Sch (65429),1.3967443,103.9120865,0
Horizon Primary School (65411),1.3994654,103.9138187,Opp Horizon Pr Sch (65419)
Kadaloor LRT,1.399601,103.9164448,0
Kadaloor Stn Exit A (65329),1.3999112,103.9162493,0
Kadaloor Stn Exit B (65321),1.3993112,103.9166662,0
Meridian LRT,1.39692,103.90888,0
Meridian Stn Exit A (65169),1.3958293,103.910029,0
Meridian Stn Exit B (65161),1.3963978,103.9098666,0
Nibong Stn Exit A (65619),1.41148,103.89998,0
Nibong Stn Exit B (65611),1.41134,103.90036,0
Oasis LRT,1.4022823,103.9127329,0
Oasis Stn Exit A (65319),1.402466,103.9127387,0
Oasis Stn Exit B/Blk 617D (65311),1.4021461,103.9127005,0
Opp Blk 103A (65071),1.3984929,103.9041539,Blk 102C (65079)
Opp Blk 188 (65271),1.3999807,103.9106464,Bet Blks 187/188 (65279)
Opp Blk 199C (65081),1.4009585,103.9052968,Opp Blk 296 (65089)
Opp Blk 201A (65201),1.4008806,103.9035672,Aft Punggol Rd (65209)
Opp Blk 227A (65559),1.4040841,103.8924934,Blk 227A (65551)
Opp Blk 259 Carpark (65491),1.4045728,103.8948119,Blk 259 Carpark (65499)
Opp Blk 264A (65401),1.4065689,103.89871,Bef Blk 264 (65409)
Opp Blk 268D (65331),1.4026665,103.8986331,Blk 268C (65339)
Opp Blk 272C (65341),1.4017647,103.900933,Blk 272C (65349)
Opp Blk 296 (65089),1.4013487,103.9058481,Opp Blk 199C (65081)
Opp Blk 315B (65441),1.4081914,103.8957547,Blk 315B (65449)
Opp Blk 322 Carpark (65459),1.4105725,103.8977409,Blk 322 Carpark (65451)
Opp Horizon Pr Sch (65419),1.3994396,103.9139912,Horizon Primary School (65411)
Opp Punggol Cove Pr Sch (65679),1.4109443,103.8990257,Punggol Cove Pr Sch (65671)
Opp Punggol Sec/Blk 195E (65289),1.401732,103.907635,Punggol Sec/Blk 601B (65281)
Opp Punggol Secondary School (65389),1.4022258,103.9101159,Punggol Secondary School (65381)
Opp Punggol View Pr Sch (65359),1.4055431,103.9043482,Punggol View Pr Sch (65351)
Opp Track 22 (65121),1.4185387,103.9098961,Aft Track 22 (65129)
Punggol Cove Pr Sch (65671),1.4113084,103.8986762,Opp Punggol Cove Pr Sch (65679)
Punggol MRT,1.40523,103.90235,0
Punggol Rd End (65139),1.4211193,103.9104942,0
Punggol Sec/Blk 601B (65281),1.401923,103.907859,Opp Punggol Sec/Blk 195E (65289)
Punggol Secondary School (65381),1.4021363,103.9097855,Opp Punggol Secondary School (65389)
Punggol Stn/Int (65259),1.4048048,103.9029973,65251
Punggol Temp Int (65009),1.40409,103.90253,0
Punggol View Pr Sch (65351),1.4059238,103.9048756,Opp Punggol View Pr Sch (65359)
