,bus number,fromNode,fromNode_long,fromNode_lat,toNode,toNode_long,toNode_lat,weight,opp
0,3,Punggol Temp Int(65009),103.90253,1.40409,way/325024332,103.9026466,1.4033011,,0
1,3,way/325024332,103.9026466,1.4033011,way/173767827,103.9029803,1.4031145,,0
2,3,way/173767827,103.9029803,1.4031145,way/724076802,103.9031708,1.4034225,,0
3,3,way/724076802,103.9031708,1.4034225,way/476395133,103.9034199,1.4038215,,0
4,3,way/476395133,103.9034199,1.4038215,way/708819911,103.9035459,1.4040253,,0
5,3,way/708819911,103.9035459,1.4040253,way/445282971,103.903687,1.404257,,0
6,3,way/445282971,103.903687,1.404257,way/74953813,103.9037954,1.4044306,,0
7,3,way/74953813,103.9037954,1.4044306,way/74962089,103.9038671,1.4044623,,0
8,3,way/74962089,103.9038671,1.4044623,way/445282963,103.9040093,1.4043935,,0
9,3,way/445282963,103.9040093,1.4043935,way/74962070,103.9045282,1.4041069,,0
10,3,way/74962070,103.9045282,1.4041069,Blk 303D(65221),103.9048174,1.4040774,,0
11,3,Blk 303D(65221),103.9048174,1.4040774,way/476389391,103.9050768,1.4037792,,0
12,3,way/476389391,103.9050768,1.4037792,way/476389390,103.9053743,1.4035741,,0
13,3,way/476389390,103.9053743,1.4035741,way/476389868,103.9057294,1.4033408,,0
14,3,way/476389868,103.9057294,1.4033408,way/476389869,103.9060854,1.4030945,,0
15,3,way/476389869,103.9060854,1.4030945,way/74962084,103.9063092,1.4029304,,0
16,3,way/74962084,103.9063092,1.4029304,way/582412256,103.9064782,1.4028262,,0
17,3,way/582412256,103.9064782,1.4028262,way/74662288,103.9068734,1.4025603,,0
18,3,way/74662288,103.9068734,1.4025603,way/655184948,103.9074646,1.4021456,,0
19,3,way/655184948,103.9074646,1.4021456,Punggol Sec/Blk 601B( 65281),103.907859,1.401923,,0
20,3,Punggol Sec/Blk 601B( 65281),103.907859,1.401923,way/476147270,103.9080694,1.4017069,,0
21,3,way/476147270,103.9080694,1.4017069,way/708916869,103.9084669,1.401409,,0
22,3,way/708916869,103.9084669,1.401409,way/476147271,103.9086999,1.4012464,,0
23,3,way/476147271,103.9086999,1.4012464,way/325024331,103.9089333,1.4010886,,0
24,3,way/325024331,103.9089333,1.4010886,way/534638193,103.9090843,1.4009831,,0
25,3,way/534638193,103.9090843,1.4009831,way/75138967,103.9092551,1.4008644,,0
26,3,way/75138967,103.9092551,1.4008644,way/635714418,103.9096081,1.4006113,,0
27,3,way/635714418,103.9096081,1.4006113,way/536982024,103.9102055,1.4001758,,0
28,3,way/536982024,103.9102055,1.4001758,Opp Blk 188(65271),103.9106464,1.3999807,,0
29,3,Opp Blk 188(65271),103.9106464,1.3999807,way/476147262,103.91078,1.3997594,,0
30,3,way/476147262,103.91078,1.3997594,way/476147261,103.9112073,1.399454,,0
31,3,way/476147261,103.9112073,1.399454,way/655190964,103.9117637,1.3990467,,0
32,3,way/655190964,103.9117637,1.3990467,way/620264529,103.9122546,1.3986909,,0
33,3,way/620264529,103.9122546,1.3986909,way/620264528,103.9126742,1.3984024,,0
34,3,way/620264528,103.9126742,1.3984024,way/534638684,103.9129837,1.398185,,0
35,3,way/534638684,103.9129837,1.398185,way/635641069,103.9131517,1.398063,,0
36,3,way/635641069,103.9131517,1.398063,Blk 649(65261),103.9146038,1.3971462,,0
37,3,Blk 649(65261),103.9146038,1.3971462,way/620263126,103.9160256,1.395998,,0
38,3,way/620263126,103.9160256,1.395998,way/696697257,103.9163243,1.3957866,,0
39,3,way/696697257,103.9163243,1.3957866,way/620263125,103.9166003,1.3955908,,0
40,3,way/620263125,103.9166003,1.3955908,way/ 534636066,103.9167929,1.3954485,,0
41,3,way/ 534636066,103.9167929,1.3954485,way/74477406,103.9168305,1.3953302,,0
42,3,way/74477406,103.9168305,1.3953302,way/630420434,103.9167293,1.395188,,0
43,3,way/630420434,103.9167293,1.395188,way/476145611,103.9164905,1.394865,,0
44,3,way/476145611,103.9164905,1.394865,way/Riviera Stn Exit A(65239),103.916123,1.3942075,,0
45,3,way/Riviera Stn Exit A(65239),103.916123,1.3942075,way/655172009,103.9158136,1.3939314,,0
46,3,way/655172009,103.9158136,1.3939314,way/475941379,103.9152764,1.3931841,,0
47,3,way/475941379,103.9152764,1.3931841,way/620514218,103.9151316,1.3929868,,0
