fromNode,fromNode_lat,fromNode_long,toNode,toNode_lat,toNode_long,weight,overhead
289A,1.4015669,103.9027319,289B,1.4012905,103.9032363,63.91393085412865,
289A,1.4015669,103.9027319,289C,1.4016541,103.9034807,83.88724537556604,
289A,1.4015669,103.9027319,298D,1.4020506000000001,103.9036292,113.27900552871095,
289A,1.4015669,103.9027319,288A,1.4023171,103.90315759999999,95.52804654862952,
289A,1.4015669,103.9027319,273A,1.4022774,103.9021262,103.51721715440041,
289A,1.4015669,103.9027319,273B,1.4020322,103.9017853,117.23673517174518,
289A,1.4015669,103.9027319,after punggol field (bus stop),1.4024963,103.9024931,106.14883133790026,
289B,1.4012905,103.9032363,289A,1.4015669,103.9027319,63.91393085412865,
289B,1.4012905,103.9032363,289C,1.4016541,103.9034807,48.54069257387113,
289B,1.4012905,103.9032363,after punggol field (bus stop),1.4024963,103.9024931,156.9007549922264,
289B,1.4012905,103.9032363,opposite blk 201a (bus stop),1.4008806,103.9035672,58.398481050298315,
289B,1.4012905,103.9032363,288A,1.4023171,103.90315759999999,113.85359934039988,
289C,1.4016541,103.9034807,289A,1.4015669,103.9027319,83.88724537556604,
289C,1.4016541,103.9034807,289B,1.4012905,103.9032363,48.54069257387113,
289C,1.4016541,103.9034807,opposite blk 201a (bus stop),1.4008806,103.9035672,86.0697246023895,
289C,1.4016541,103.9034807,273B,1.4020322,103.9017853,193.25159793541553,
289C,1.4016541,103.9034807,273A,1.4022774,103.9021262,165.74656085936692,
289C,1.4016541,103.9034807,after punggol field (bus stop),1.4024963,103.9024931,144.05525383524997,
289C,1.4016541,103.9034807,274B,1.4031223999999998,103.9024316,199.97635432544217,
289C,1.4016541,103.9034807,288A,1.4023171,103.90315759999999,81.65420591233462,
289C,1.4016541,103.9034807,289D,1.4020506000000001,103.9036292,46.854190205586555,
289C,1.4016541,103.9034807,295,1.4020046999999998,103.9048642,158.7704723432011,
289D,1.4020506000000001,103.9036292,289C,1.4016541,103.9034807,46.854190205586555,
289D,1.4020506000000001,103.9036292,273B,1.4020322,103.9017853,205.21105488686757,
289D,1.4020506000000001,103.9036292,273A,1.4022774,103.9021262,169.13302816933214,
289D,1.4020506000000001,103.9036292,288A,1.4023171,103.90315759999999,60.189744641843326,
289D,1.4020506000000001,103.9036292,289A,1.4015669,103.9027319,113.27900552871095,
289D,1.4020506000000001,103.9036292,288B,1.4027295,103.9032946,83.79710526047134,
289D,1.4020506000000001,103.9036292,288C,1.4025151000000002,103.9036849,51.734751206958215,
289D,1.4020506000000001,103.9036292,294,1.4026872,103.90467690000001,136.1960574260765,
289D,1.4020506000000001,103.9036292,295,1.4020046999999998,103.9048642,137.53236958685125,
288A,1.4023171,103.90315759999999,289D,1.4020506000000001,103.9036292,60.189744641843326,
288A,1.4023171,103.90315759999999,289C,1.4016541,103.9034807,81.65420591233462,
288A,1.4023171,103.90315759999999,289B,1.4012905,103.9032363,113.85359934039988,
288A,1.4023171,103.90315759999999,289A,1.4015669,103.9027319,95.52804654862952,
288A,1.4023171,103.90315759999999,273B,1.4020322,103.9017853,155.93365768302658,
288A,1.4023171,103.90315759999999,273A,1.4022774,103.9021262,114.86468132256162,
288A,1.4023171,103.90315759999999,after punggol field (bus stop),1.4024963,103.9024931,76.55852148746548,
288A,1.4023171,103.90315759999999,274B,1.4031223999999998,103.9024316,120.23661413997702,
288A,1.4023171,103.90315759999999,288B,1.4027295,103.9032946,48.082308857606215,
288A,1.4023171,103.90315759999999,288C,1.4025151000000002,103.9036849,62.63254275171169,
288B,1.4027295,103.9032946,288C,1.4025151000000002,103.9036849,49.48372955397452,
288B,1.4027295,103.9032946,289D,1.4020506000000001,103.9036292,83.79710526047134,
288B,1.4027295,103.9032946,288A,1.4023171,103.90315759999999,48.082308857606215,
288B,1.4027295,103.9032946,after punggol field (bus stop),1.4024963,103.9024931,92.84853929405764,
288B,1.4027295,103.9032946,274A,1.4027227,103.90236740000002,103.18744742537905,
288B,1.4027295,103.9032946,274B,1.4031223999999998,103.9024316,105.40950000837675,
288B,1.4027295,103.9032946,after punggol central (bus stop),1.4033115,103.90332559999999,64.44701887215298,
288B,1.4027295,103.9032946,92,1.4002986000000002,103.9162965,1471.6901606006375,
288B,1.4027295,103.9032946,90,1.4006172,103.91652990000001,1491.3130165187313,
288C,1.4025151000000002,103.9036849,after punggol central (bus stop),1.4033115,103.90332559999999,96.71458127799578,
288C,1.4025151000000002,103.9036849,92,1.4002986000000002,103.9162965,1424.7387151455912,
288C,1.4025151000000002,103.9036849,90,1.4006172,103.91652990000001,1444.7965261979555,
288C,1.4025151000000002,103.9036849,288B,1.4027295,103.9032946,49.48372955397452,
288C,1.4025151000000002,103.9036849,288A,1.4023171,103.90315759999999,62.63254275171169,
288C,1.4025151000000002,103.9036849,289D,1.4020506000000001,103.9036292,51.734751206958215,
288C,1.4025151000000002,103.9036849,295,1.4020046999999998,103.9048642,142.86052493417148,
288C,1.4025151000000002,103.9036849,294,1.4026872,103.90467690000001,112.02424316811302,
92,1.4002986000000002,103.9162965,90,1.4006172,103.91652990000001,43.76936144597489,
92,1.4002986000000002,103.9162965,288C,1.4025151000000002,103.9036849,1424.7387151455912,
92,1.4002986000000002,103.9162965,288B,1.4027295,103.9032946,1471.6901606006375,
92,1.4002986000000002,103.9162965,274B,1.4031223999999998,103.9024316,1574.2509725518266,
92,1.4002986000000002,103.9162965,after punggol central (bus stop),1.4033115,103.90332559999999,1481.4310446179181,
92,1.4002986000000002,103.9162965,86,1.4012877000000001,103.9169432,130.92461279726544,
92,1.4002986000000002,103.9162965,82,1.4016848999999998,103.91625859999999,153.34805324384476,
92,1.4002986000000002,103.9162965,88,1.4009267,103.9167378,85.0615009021435,
90,1.4006172,103.91652990000001,293,1.4031741000000002,103.9049597,1318.2808894915295,
90,1.4006172,103.91652990000001,294,1.4026872,103.90467690000001,1338.7893144911855,
90,1.4006172,103.91652990000001,295,1.4020046999999998,103.9048642,1307.2681688797018,
90,1.4006172,103.91652990000001,288C,1.4025151000000002,103.9036849,1444.7965261979555,
90,1.4006172,103.91652990000001,288B,1.4027295,103.9032946,1491.3130165187313,
90,1.4006172,103.91652990000001,92,1.4002986000000002,103.9162965,43.76936144597489,
90,1.4006172,103.91652990000001,84,1.4013841,103.9165819,84.99714570413197,
90,1.4006172,103.91652990000001,82,1.4016848999999998,103.91625859999999,121.86026735147799,
90,1.4006172,103.91652990000001,88,1.4009267,103.9167378,41.309869297754176,
86,1.4012877000000001,103.9169432,84,1.4013841,103.9165819,41.596744893235325,
86,1.4012877000000001,103.9169432,82,1.4016848999999998,103.91625859999999,87.93980057142551,
86,1.4012877000000001,103.9169432,80,1.4017677,103.9159556,122.05117196553448,
86,1.4012877000000001,103.9169432,88,1.4009267,103.9167378,45.999020282014065,
86,1.4012877000000001,103.9169432,92,1.4002986000000002,103.9162965,130.92461279726544,
86,1.4012877000000001,103.9169432,after punggol central (bus stop),1.4033115,103.90332559999999,1531.8867449972447,
88,1.4009267,103.9167378,80,1.4017677,103.9159556,127.37814265107086,
88,1.4009267,103.9167378,293,1.4031741000000002,103.9049597,1334.091591475076,
88,1.4009267,103.9167378,294,1.4026872,103.90467690000001,1356.2573670679506,
88,1.4009267,103.9167378,90,1.4006172,103.91652990000001,41.309869297754176,
88,1.4009267,103.9167378,92,1.4002986000000002,103.9162965,85.0615009021435,
88,1.4009267,103.9167378,after punggol central (bus stop),1.4033115,103.90332559999999,1515.7103085930346,
88,1.4009267,103.9167378,86,1.4012877000000001,103.9169432,45.999020282014065,
88,1.4009267,103.9167378,84,1.4013841,103.9165819,53.46996986522743,
88,1.4009267,103.9167378,82,1.4016848999999998,103.91625859999999,99.36156525846934,
84,1.4013841,103.9165819,303D (bus stop),1.4040774,103.90481740000001,1342.6728800023698,
84,1.4013841,103.9165819,82,1.4016848999999998,103.91625859999999,48.99766587576555,
84,1.4013841,103.9165819,88,1.4009267,103.9167378,53.46996986522743,
84,1.4013841,103.9165819,90,1.4006172,103.91652990000001,84.99714570413197,
84,1.4013841,103.9165819,86,1.4012877000000001,103.9169432,41.596744893235325,
84,1.4013841,103.9165819,punggol station (taxi stand),1.4048608999999999,103.9026867,1593.4193048701839,
84,1.4013841,103.9165819,302A,1.4045119,103.90440190000001,1398.8957019746583,
84,1.4013841,103.9165819,302B,1.404406,103.90475620000001,1357.7968693693563,
82,1.4016848999999998,103.91625859999999,303D (bus stop),1.4040774,103.90481740000001,1300.4425830797563,
82,1.4016848999999998,103.91625859999999,80,1.4017677,103.9159556,34.94064463837233,
82,1.4016848999999998,103.91625859999999,88,1.4009267,103.9167378,99.36156525846934,
