name,long,lat
289B,103.9032363,1.4012905
289C,103.9034807,1.4016541
298D,103.9036292,1.4020506
288A,103.9031576,1.4023171
273A,103.9021262,1.4022774
273B,103.9017853,1.4020322
289A,103.9027319,1.4015669
274B,103.9024316,1.4031224
289D,103.9036292,1.4020506
295,103.9048642,1.4020047
288B,103.9032946,1.4027295
288C,103.9036849,1.4025151
294,103.9046769,1.4026872
274A,103.9023674,1.4027227
92,103.9162965,1.4002986
90,103.9165299,1.4006172
86,103.9169432,1.4012877
82,103.9162586,1.4016849
88,103.9167378,1.4009267
293,103.9049597,1.4031741
84,103.9165819,1.4013841
80,103.9159556,1.4017677
302A,103.9044019,1.4045119
302B,103.9047562,1.404406
303A,103.9057605,1.403809
303B,103.9055183,1.4039404
303C,103.9052954,1.404078
299,103.905336,1.4027949
298,103.9056626,1.4026126
297,103.9054975,1.4022883
296,103.905299,1.4016979
195A,103.906155,1.4015477
273C,103.9013801,1.402237
273D,103.9014705,1.4026282
274C,103.901966,1.4033607
274D,103.9017219,1.4031046
272C,103.9000408,1.4029164
Punggol Temporary Interchange,103.9025242,1.404107
301A,103.9062753,1.404157
301C,103.9056415,1.4044227
305A,103.9067226,1.4052051
305B,103.9063854,1.4053774
301B,103.9058892,1.4042851
301D,103.9053593,1.4045565
303D,103.9050009,1.4042685
302D,103.90512,1.4046918
302C,103.9048829,1.4048249
Punggol MRT,103.90235,1.40523
602B,103.9068768,1.4030339
601A,103.90759,1.4024859
601D,103.907682,1.4029774
602A,103.9070327,1.4034755
602C,103.9071823,1.4028063
603C,103.907916,1.4034137
604B,103.9072235,1.4039018
604C,103.9075724,1.4036773
603A,103.9084722,1.4035487
603B,103.9082131,1.4031873
604A,103.9074102,1.4042647
612D,103.9076175,1.4047463
613A,103.9079211,1.404527
613B,103.9082461,1.4043172
613C,103.9085458,1.404103
614A,103.9092319,1.4036136
614B,103.9100811,1.403051
615A,103.9095691,1.4040051
615B,103.9099181,1.4037658
615C,103.9102826,1.4034879
305D,103.9069365,1.4057889
306B,103.9059333,1.405853
306D,103.9064785,1.4061131
612C,103.907831,1.4051606
306C,103.9060078,1.406426
306A,103.9054158,1.4061209
602,103.9072887,1.4032471
601B,103.9078997,1.4022784
601C,103.9080352,1.4027727
194,103.9017527,1.3928361
301,103.9061298,1.4037205
603,103.9079335,1.4039134
613D,103.9088781,1.4038749
Damai Stn Exit B,103.909628,1.404384
612B,103.9081374,1.4049451
612A,103.9092016,1.4042576
Damai LRT,103.90858,1.40526
679A,103.9082727,1.4059557
614,103.9096363,1.4033493
619B,103.9110484,1.4029488
