name,lat,long
Punggol MRT,1.40523,103.90235
Damai LRT,1.40526,103.90858
Oasis LRT,1.40228,103.91274
Kadaloor LRT,1.39958,103.91646
Riviera LRT,1.39452,103.91616
Corals Edge LRT,1.39394,103.91259
Meridian LRT,1.39692,103.90888
Cove LRT,1.39941,103.90581
Sam Kee LRT,1.40969,103.9049
Punggol Point LRT,1.41686,103.90665
Samudera LRT,1.41594,103.90216
Nibong LRT,1.41187,103.90034
Sumang LRT,1.40851,103.89855
Soo Teck LRT,1.40529,103.89728
101,1.3985143,103.9058334
101A,1.3980953,103.9058605
101B,1.3978394,103.9063893
101C,1.3982008,103.906639
101D,1.3985562,103.9062282
102A,1.3988334,103.9058699
102B,1.3991869,103.9054186
102C,1.3988446,103.9050581
102D,1.398529,103.9054406
103A,1.3982723,103.9049507
103B,1.3978508,103.9047836
103C,1.3973827,103.9046382
104A,1.3968967,103.9051125
104B,1.3966232,103.9054507
105A,1.396995,103.9057579
105B,1.3973272,103.9060342
105C,1.3976135,103.9057055
105D,1.3972608,103.9054528
106A,1.3967132,103.9085659
106B,1.3970932,103.9080927
106C,1.3973986,103.9076733
106D,1.3976361,103.9073092
107,1.3969338,103.9077988
107A,1.3972591,103.9069669
107B,1.3969478,103.9073418
107C,1.3966291,103.9076943
107D,1.3963033,103.908077
109,1.3954539,103.9095655
109A,1.3947369,103.9100543
109B,1.3950095,103.9096956
109C,1.3952996,103.909326
109D,1.3956402,103.9088763
110A,1.3961479,103.9091811
110B,1.3957403,103.9096665
110C,1.3954029,103.9100915
110D,1.3951325,103.9103578
111,1.3967103,103.9067706
112,1.3963781,103.9071829
114,1.395937,103.9076277
115,1.3952263,103.9074089
116,1.3954681,103.9070956
117,1.3958745,103.9067002
118,1.3962564,103.9063307
119,1.3954762,103.9065284
126,1.3942966,103.9109323
126A,1.3942685,103.911593
126B,1.3946379,103.9110431
126C,1.3940915,103.9107096
126D,1.3938103,103.9111392
128,1.392964,103.912587
128A,1.3935476,103.9124686
128B,1.3931148,103.9129121
128C,1.3926538,103.9124403
128D,1.393032,103.912059
130,1.3932895,103.9100641
131,1.3935741,103.9103545
132,1.3932561,103.910781
133,1.3928759,103.9104804
134,1.3925115,103.91018
137,1.3923784,103.909424
138,1.3927965,103.9096553
160A,1.3954617,103.9157136
160B,1.3953385,103.9160176
161A,1.3959921,103.9149929
161B,1.3958705,103.9152972
162,1.3961224,103.9143267
162A,1.3965537,103.9142505
162B,1.3964243,103.9145534
163A,1.3956697,103.9140812
163B,1.3957938,103.9137773
165A,1.3951725,103.9147534
165B,1.3952966,103.9144496
166,1.3949843,103.9155368
166A,1.3945882,103.9155327
166B,1.3947123,103.9152287
167A,1.3940384,103.9151986
167B,1.3942537,103.9150005
167C,1.3944258,103.9147775
167D,1.3945842,103.9145523
168A,1.3946166,103.9142589
168B,1.3945219,103.9139906
168C,1.3938955,103.9137764
168D,1.393761,103.9140238
169A,1.3930746,103.9143222
169B,1.3932211,103.9141011
169C,1.3936208,103.9142471
170A,1.3935556,103.9148859
170B,1.3933303,103.9147303
170C,1.393096,103.9145822
171,1.3948994,103.9126044
171A,1.3946796,103.9124126
171B,1.3951542,103.9127946
171C,1.3948765,103.9132875
172,1.3955323,103.9118169
172A,1.3953757,103.9115639
172B,1.3958653,103.9119438
172C,1.3955486,103.9123215
173A,1.397021,103.9095136
