id,name,long,lat
way/22652751,Rivervale Drive,103.9027409,1.3935877
way/32758989,Punggol Drive,103.9091572,1.4047097
way/32759106,Sentul Crescent,103.9047856,1.4096481
way/32759619,Edgedale Plains,103.9094663,1.3932229
way/32759679,Edgefield Plains,103.9109852,1.4035295
way/32759756,Punggol Field Walk,103.9126841,1.3921894
way/32760717,Edgefield Plains,103.9097235,1.3944205
way/32776625,Tampines Expressway,103.905218,1.3955052
way/32776686,Punggol Road,103.9033771,1.3965863
way/32776743,Punggol Road,103.903784,1.3971542
way/32776914,Tampines Expressway,103.9016582,1.3977294
way/32854350,297A,103.9003718,1.3950941
way/32921007,189B,103.9036024,1.3960965
way/33176416,Punggol Road,103.9032979,1.3962345
way/34403022,Punggol Drive,103.9044119,1.4077749
way/35091536,Edgefield Plains,103.9065574,1.3973826
way/35091539,Punggol Road,103.9077724,1.4058461
way/35091541,Punggol Road,103.9042812,1.3983977
way/35091881,Edgedale Plains,103.9164583,1.4029665
way/35091912,Punggol Place,103.9044373,1.405392
way/35091916,Punggol Place,103.902434,1.3991127
way/35091918,Punggol Place,103.9016329,1.4008387
way/35092337,Punggol Place,103.9013738,1.400006
way/35092359,Edgefield Plains,103.906187,1.3967681
way/35092397,Edgedale Plains,103.9095952,1.3934947
way/74477399,Punggol Field,103.9050225,1.3998639
way/74477400,Punggol Field,103.905091,1.4000273
way/74477402,Punggol Road,103.9053171,1.4007108
way/74477404,Punggol Road,103.904712,1.3989995
way/74477405,Punggol East,103.9166723,1.3954466
way/74477406,Punggol East,103.9168305,1.3953302
way/74477408,Punggol East,103.9153411,1.3935515
way/74549037,Punggol Road,103.9023173,1.3952281
way/74549049,Rivervale Drive,103.9014293,1.3942028
way/74549053,Tampines Expressway,103.9045304,1.3960911
way/74584466,Tampines Expressway,103.9037406,1.3963029
way/74662283,Punggol Road,103.9062305,1.4029093
way/74662285,Punggol Central,103.9055189,1.4032922
way/74662287,Punggol Road,103.9063456,1.4028375
way/74662288,Punggol Central,103.9068734,1.4025603
way/74953804,Punggol Place,103.9019955,1.4014905
way/74953807,Punggol Place,103.9020831,1.4014477
way/74953808,Punggol Place,103.903871,1.4043901
way/74953813,Punggol Place,103.9037954,1.4044306
way/74962070,Punggol Central,103.9045282,1.4041069
way/74962072,Punggol Place,103.9052853,1.4071323
way/74962084,Punggol Central,103.9063092,1.4029304
way/74962086,Punggol Central,103.9062669,1.4028164
way/74962088,Punggol Central,103.9029973,1.4048048
way/74962089,Punggol Central,103.9038671,1.4044623
way/74981354,Rivervale Drive,103.9032737,1.3934916
way/74981370,Punggol Road,103.9013516,1.3941726
way/75138964,Edgefield Plains,103.9073238,1.398485
way/75138965,Edgefield Plains,103.9089933,1.400961
way/75138966,Punggol Central,103.9088496,1.4009776
way/75138967,Punggol Central,103.9092551,1.4008644
way/75138968,Edgefield Plains,103.9090964,1.4008888
way/75138969,Punggol Field,103.9072694,1.3983646
way/75138970,Edgefield Plains,103.9067413,1.3975128
way/101124100,Punggol Walk,103.9007706,1.4063389
way/101125013,Punggol Walk,103.901103,1.4062484
way/101126235,Punggol Road,103.9061635,1.4032987
way/163788346,Punggol Park Connector,103.8959992,1.4060457
way/163788986,Punggol Waterway,103.904562,1.4091042
way/163791722,Punggol Waterway,103.9127737,1.4047212
way/166523217,Punggol Walk,103.9017779,1.4083749
way/166523220,Punggol Walk,103.9015431,1.4078626
